1,"Marie",33,"Alexander",29
2,"Sophie",29,"Elias",19
3,"Maria",22,"Leon",18
4,"Mia",19,"Felix",16
5,"Johanna",17,"Lukas",16
6,"Anna",16,"Maximilian",16
7,"Emilia",16,"Ben",15
8,"Emma",14,"Liam",15
9,"Charlotte",12,"Ali",12
10,"Mira",11,"David",12
11,"Mila",10,"Erik",12
12,"Hanna",9,"Jonas",12
13,"Jule",9,"Noah",12
14,"Lea",9,"Paul",12
15,"Paula",9,"Milan",11
16,"Emily",8,"Fynn",10
17,"Lilly",8,"Jan",10
18,"Luise",8,"Luca",10
19,"Melina",8,"Moritz",10
20,"Alessia",7,"Theo",10
21,"Elena",7,"Adam",9
22,"Elif",7,"Hamza",9
23,"Elina",7,"Samuel",9
24,"Elisabeth",7,"Tom",9
25,"Helena",7,"Anton",8
26,"Julia",7,"Daniel",8
27,"Laura",7,"Karl",8
28,"Lena",7,"Luis",8
29,"Sophia",7,"Adrian",7
30,"Hannah",6,"Finn",7
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
