1,"Marie",35,"Alexander",21
2,"Sophie",32,"Luca",21
3,"Emma",14,"Jan",14
4,"Emily",13,"Noah",14
5,"Lena",12,"Ben",13
6,"Anna",11,"Julian",12
7,"Johanna",11,"Leon",12
8,"Lina",11,"Max",11
9,"Maria",11,"Mika",11
10,"Mia",11,"David",10
11,"Elif",10,"Joel",10
12,"Hannah",10,"Jonas",10
13,"Leonie",10,"Tom",10
14,"Lilly",10,"Ali",9
15,"Ida",9,"Elias",9
16,"Luisa",9,"Felix",9
17,"Lea",8,"Maximilian",9
18,"Marlene",8,"Niklas",9
19,"Nur",8,"Paul",9
20,"Emilia",7,"Anton",8
21,"Viktoria",7,"Jakob",8
22,"Alina",6,"Liam",8
23,"Amina",6,"Lukas",8
24,"Ela",6,"Yusuf",8
25,"Fiona",6,"Emil",7
26,"Julia",6,"Emir",7
27,"Leni",6,"Finn",7
28,"Maja",6,"Fynn",7
29,"Paula",6,"Jason",7
30,"Paulina",6,"Luis",7
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
