1,"Sophie",35,"Alexander",26
2,"Marie",28,"Luca",26
3,"Emilia",21,"Leon",20
4,"Lena",18,"Maximilian",15
5,"Mia ",18,"Elias",14
6,"Anna",14,"Julian",14
7,"Emma",14,"Paul",14
8,"Charlotte",12,"Jan",13
9,"Sophia",12,"Ben",11
10,"Maria",11,"David",10
11,"Sofia",11,"Finn",10
12,"Luisa",10,"Moritz",10
13,"Emily",9,"Jakob",9
14,"Helena",9,"Mats",9
15,"Elisa",8,"Noah",9
16,"Ida",8,"Tom",9
17,"Lina",8,"Emir",8
18,"Melina",8,"Malik",8
19,"Elif",7,"Oskar",8
20,"Frieda",7,"Phil",8
21,"Jana",7,"Emil",7
22,"Johanna",7,"Felix",7
23,"Katharina",7,"Joel",7
24,"Lea",7,"Jonas",7
25,"Lia",7,"Jonathan",7
26,"Marlene",7,"Marlon",7
27,"Mila",7,"Anton",6
28,"Mira",7,"Daniel",6
29,"Nele",7,"Henry",6
30,"Greta",6,"Lucas",6
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
