1,"Sophie",45,"Maximilian",21
2,"Marie",38,"Alexander",17
3,"Maria",19,"Ben",17
4,"Mia",16,"Jan",14
5,"Emilia",13,"Leon",14
6,"Charlotte",12,"Louis",14
7,"Emily",12,"Felix",13
8,"Lina",12,"Julian",13
9,"Lena",11,"Luca",13
10,"Leonie",10,"David",12
11,"Johanna",9,"Joel",12
12,"Hanna ",8,"Jonas",12
13,"Lea",8,"Muhammed",12
14,"Milena",8,"Lukas",11
15,"Pia",8,"Noah",11
16,"Amelie",7,"Paul",10
17,"Anna",7,"Samuel",10
18,"Jana",7,"Elias",9
19,"Lara",7,"Henry",9
20,"Chiara",6,"Tim",9
21,"Isabella",6,"Daniel",8
22,"Maja",6,"Jakob",8
23,"Marleen",6,"Max",8
24,"Marlene",6,"Michael",8
25,"Medina",6,"Niklas",8
26,"Melina",6,"Emil",7
27,"Alexandra",5,"Jonathan",7
28,"Amy",5,"Lennox",7
29,"Diana",5,"Linus",7
30,"Elisa",5,"Philipp",7
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
