1,"Sophie",49,"Maximilian",26
2,"Marie",34,"Alexander",20
3,"Mia",19,"Luca",18
4,"Sophia",18,"Noah",16
5,"Leonie",15,"Ben",14
6,"Emily",12,"Jan",13
7,"Lena",12,"Joel",13
8,"Anna",11,"Leon",13
9,"Celine",11,"Gabriel",11
10,"Emilia",11,"David",10
11,"Lea",11,"Elias",10
12,"Maria",11,"Finn",10
13,"Emma",10,"Paul",10
14,"Hannah",10,"Jason",9
15,"Melina",10,"Jonas",9
16,"Johanna",9,"Lukas",9
17,"Luise",9,"Dean",8
18,"Sarah",9,"Julian",8
19,"Alina",8,"Justus",8
20,"Elisabeth",8,"Niklas",8
21,"Maja",8,"Noel",8
22,"Nele",8,"Tim",8
23,"Pia",8,"Christian",7
24,"Julia",7,"Felix",7
25,"Laura",7,"Julius",7
26,"Marlene",7,"Max",7
27,"Maya",7,"Philip",7
28,"Antonia",6,"Adam",6
29,"Charlotte",6,"Eren",6
30,"Elif",6,"Fynn",6
31,"Ida",6,"Jakob",6
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
