1,"Emilia",26,"Leon",16
2,"Mia",19,"Maximilian",15
3,"Marie",16,"Adam",14
4,"Mira",14,"Milan",14
5,"Sophia",13,"Elias",13
6,"Sophie",13,"Felix",13
7,"Hannah",11,"Finn",13
8,"Mila",10,"Paul",13
9,"Charlotte",9,"Max",11
10,"Emily",9,"Samuel",11
11,"Leonie",9,"Jonas",10
12,"Lina",9,"Leo",10
13,"Ida",8,"Lukas",10
14,"Laura",8,"Moritz",10
15,"Lea",8,"Ben",9
16,"Lena",8,"David",9
17,"Leni",8,"Henry",9
18,"Antonia",7,"Louis",9
19,"Clara",7,"Noah",9
20,"Ella",7,"Theo",9
21,"Johanna",7,"Anton",8
22,"Luisa",7,"Luis",8
23,"Marlene",7,"Oskar",8
24,"Elisa",6,"Tom",8
25,"Lara",6,"Henri",7
26,"Maja",6,"Luca",7
27,"Sara",6,"Mats",7
28,"Amira",5,"Mohammad",7
29,"Anna",5,"Nick",7
30,"Elina",5,"Rayan",7
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
