1,"Marie",36,"Noah",23
2,"Sophie",32,"Paul",20
3,"Sophia",19,"Ben",17
4,"Emilia",17,"Leon",15
5,"Johanna",17,"Elias",14
6,"Elisabeth",16,"Jonas",14
7,"Emma",16,"Alexander",13
8,"Leonie",13,"Luca",12
9,"Mia",13,"Maximilian",12
10,"Mila",13,"Tom",12
11,"Charlotte",12,"Luis",10
12,"Emily",12,"Luke",10
13,"Lina",12,"Michael",10
14,"Anna",11,"Moritz",10
15,"Luisa",11,"Ali",9
16,"Maria",10,"Benjamin",9
17,"Lia",9,"Fynn",9
18,"Sofia",9,"Henry",9
19,"Amelie",8,"Jan",9
20,"Lara",8,"Louis",9
21,"Lea",8,"Felix",8
22,"Clara",7,"Julian",8
23,"Josephine",7,"Leo",8
24,"Laura",7,"Nico",8
25,"Lena",7,"Samuel",8
26,"Luise",7,"Anton",7
27,"Lynn",7,"David",7
28,"Marlene",7,"Gabriel",7
29,"Nele",7,"Joel",7
30,"Amy",6,"Lukas",7
,,,,
"Weitere Vornamen mit der gleichen H�ufigkeit sind nicht mehr ausgewiesen.",,,,
